LEA_STATE,LEA_STATE_NAME,LEAID,LEA_NAME,SCHID,SCH_NAME,COMBOKEY,TOT_ENR,TOT_DAYSMISSED,DAYSMISSED_PER_100,TOT_EXPWE,TOT_EXPWOE,TOT_ISS,ISS_PER_100,TOT_MULTOOS,MULTOOS_PER_100,TOT_SINGOOS,SINGOOS_PER_100,SCH_SAL_TOTPERS_WOFED,SCH_SAL_TEACH_WOFED,SCH_SAL_AID_WOFED,SCH_SAL_SUP_WOFED,SCH_SAL_ADM_WOFED,SCH_NPE_WOFED,SPEND_PER_STUDENT_WOFED,SPEND_PER_STUDENT_TEACH_WOFED,SPEND_PER_STUDENT_AID_WOFED,SPEND_PER_STUDENT_SUP_WOFED,SPEND_PER_STUDENT_ADM_WOFED,SPEND_PER_STUDENT_NPE_WOFED
AL,ALABAMA,0100006,Marshall County,00878,Douglas High Sch,010000600878,594,71,11.95,10,26,174,29.29,5,0.84,25,4.21,2514808.87,1994040.12,153411,235116.75,104890,1565468.68,4233.68,3356.97,258.27,395.82,176.58,2635.47
AL,ALABAMA,0100006,Marshall County,00883,Kate D Smith DAR High Sch,010000600883,459,57,12.42,43,4,73,15.9,0,0,4,0.87,2029084.92,1625488.92,94087,119052,157028,1098307.78,4420.66,3541.37,204.98,259.37,342.11,2392.83
AL,ALABAMA,0100006,Marshall County,01585,Brindlee Mt High Sch,010000601585,363,32,8.82,5,0,80,22.04,2,0.55,10,2.75,1783616,1364520,105707,119907,165773,686458,4913.54,3759.01,291.2,330.32,456.67,1891.07
AL,ALABAMA,0100007,Hoover City,00251,Hoover High Sch,010000700251,2967,658,22.18,0,0,2,0.07,10,0.34,54,1.82,14173363.05,11981666.48,19331.68,1041427.14,1150269.43,538632.93,4777,4038.31,6.52,351,387.69,181.54
AL,ALABAMA,0100008,Madison City,00831,Bob Jones High Sch,010000800831,1756,338,19.25,0,0,316,18,8,0.46,99,5.64,6673261.05,5109876.57,102189,946241.07,389017.32,2137678.93,3800.26,2909.95,58.19,538.86,221.54,1217.36
AL,ALABAMA,0100008,Madison City,02198,James Clemens High School,010000802198,1708,218,12.76,8,0,135,7.9,9,0.53,36,2.11,6657388.58,4988739.76,154670.69,924573.73,487278.36,2208219.37,3897.77,2920.81,90.56,541.32,285.29,1292.87
AL,ALABAMA,0100012,Boaz City,00874,Boaz High Sch,010001200874,614,42,6.84,2,2,74,12.05,2,0.33,6,0.98,2604221.92,1977228.02,47183.87,175525.15,254903.42,971615.99,4241.4,3220.24,76.85,285.87,415.15,1582.44
AL,ALABAMA,0100013,Trussville City,01682,Hewitt-Trussville High Sch,010001301682,1441,55,3.82,0,0,109,7.56,2,0.14,13,0.9,5466121,5466121,60699.27,437865.84,399660.55,2676595.97,3793.28,3793.28,42.12,303.86,277.35,1857.46
AL,ALABAMA,0100030,Alexander City,00003,Benjamin Russell High Sch,010003000003,946,388,41.01,0,0,59,6.24,32,3.38,71,7.51,3931470.11,3297376.05,30391.49,210537.12,373013.56,1679131.84,4155.89,3485.6,32.13,222.56,394.31,1774.98
AL,ALABAMA,0100090,Anniston City,00011,Anniston High Sch,010009000011,513,5175,1008.77,0,0,303,59.06,62,12.09,77,15.01,2207934.5,2207934.5,127312.44,212347.04,261385.19,826288,4303.97,4303.97,248.17,413.93,509.52,1610.7
AL,ALABAMA,0100100,Arab City,00028,Arab High Sch,010010000028,754,129,17.11,0,0,54,7.16,2,0.27,24,3.18,3597638.56,2842089.02,12199.28,392680.6,234126.96,452814.89,4771.4,3769.35,16.18,520.8,310.51,600.55
AL,ALABAMA,0100120,Athens City,01472,Athens High Sch,010012001472,1241,166,13.38,9,0,60,4.83,9,0.73,28,2.26,4393850.51,3514557.62,702.98,421578.07,457011.84,871764.64,3540.57,2832.04,0.57,339.71,368.26,702.47
